Context_Pipeline,Question_Generation_Pipeline,Answer_Generation_Pipeline
"eted, high-level, general-purpose programming language. Created by Guido van Rossum and first released in 1991, Python's design philosophy emphasizes ",Who created Python?,Who created Python?
" programming language. Created by Guido van Rossum and first released in 1991, Python's design philosophy emphasizes code readability with its notable",When was Python first released?,When was Python first released?
"by Guido van Rossum and first released in 1991, Python's design philosophy emphasizes code readability with its notable use of significant whitespace.",What is Python's design philosophy?,What is Python's design philosophy?
"Princess Arya Stark is the third child and second daughter of Lord Eddard Stark and his wife, Lady Catelyn Stark. She is the sister of the incumbent W","Who is the third child and second daughter of Lord Eddard Stark and his wife, Lady Catelyn Stark?","Who is the third child and second daughter of Lord Eddard Stark and his wife, Lady Catelyn Stark?"
"of the incumbent Westerosi monarchs, Sansa, Queen in the North, and Brandon, King of the Andals and the First Men. After narrowly escaping the persecu",Princess Arya Stark is the sister of what Westerosi monarchs?,Princess Arya Stark is the sister of what Westerosi monarchs?
"aughter of Lord Eddard Stark and his wife, Lady Catelyn Stark. She is the sister of the incumbent Westerosi monarchs, Sansa, Queen in the North, and B","What is Sansa, Queen in the North, and Brandon, King of the Andals?","What is Sansa, Queen in the North, and Brandon, King of the Andals?"
" persecution of House Stark by House Lannister, Arya is trained as a Faceless Man at the House of Black and White in Braavos, using her abilities to a",What is Arya trained as?,What is Arya trained as?
"r, Arya is trained as a Faceless Man at the House of Black and White in Braavos, using her abilities to avenge her family. Upon her return to Westeros",Where is the House of Black and White located?,Where is the House of Black and White located?
"ter of the incumbent Westerosi monarchs, Sansa, Queen in the North, and Brandon, King of the Andals and the First Men. After narrowly escaping the per",What is the name of the first men?,What is the name of the first men?
"using her abilities to avenge her family. Upon her return to Westeros, she exacts retribution for the Red Wedding by exterminating the Frey male line.",What is the name of the line that Frey exterminates?,What is the name of the line that Frey exterminates?
" Braavos, using her abilities to avenge her family. Upon her return to Westeros, she exacts retribution for the Red Wedding by exterminating the Frey ",Where does the Red Wedding take place?,Where does the Red Wedding take place?
"Dry Cleaning are an English post-punk band who formed in South London in 2018.[3] The band is composed of vocalist Florence Shaw, guitarist Tom Dowse,",What is the name of the English post-punk band that formed in South London in 2018?,What is the name of the English post-punk band that formed in South London in 2018?
" formed in South London in 2018.[3] The band is composed of vocalist Florence Shaw, guitarist Tom Dowse, bassist Lewis Maynard and drummer Nick Buxton",Who is the vocalist of Dry Cleaning?,Who is the vocalist of Dry Cleaning?
"Dry Cleaning are an English post-punk band who formed in South London in 2018.[3] The band is composed of vocalist Florence Shaw, guitarist Tom Dowse,",Where did Dry Cleaning form?,Where did Dry Cleaning form?
"ewis Maynard and drummer Nick Buxton. They are noted for their use of spoken word primarily in lieu of sung vocals, as well as their unconventional ly",What does the band use instead of sung vocals?,What does the band use instead of sung vocals?
"agazine and Joy Division.[4] The band released their debut single, 'Magic of Meghan' in 2019. Shaw wrote the song after going through a break-up and m",What is the name of the band's debut single?,What is the name of the band's debut single?
"agazine and Joy Division.[4] The band released their debut single, 'Magic of Meghan' in 2019. Shaw wrote the song after going through a break-up and m",What was Shaw's first song called?,What was Shaw's first song called?
" Division.[4] The band released their debut single, 'Magic of Meghan' in 2019. Shaw wrote the song after going through a break-up and moving out of he",When did Shaw write the song Magic of Meghan?,When did Shaw write the song Magic of Meghan?
his was followed by the release of two EPs that year: Sweet Princess in August and Boundary Road Snacks and Drinks in October. The band were included ,When did Meghan Markle and Prince Harry announce they were engaged?,When did Meghan Markle and Prince Harry announce they were engaged?
 engaged.[5] This was followed by the release of two EPs that year: Sweet Princess in August and Boundary Road Snacks and Drinks in October. The band ,What was the name of the two EPs released in August?,What was the name of the two EPs released in August?
"t year: Sweet Princess in August and Boundary Road Snacks and Drinks in October. The band were included as part of the NME 100 of 2020,[6] as well as ",When was Boundary Road Snacks and Drinks released?,When was Boundary Road Snacks and Drinks released?
"t year: Sweet Princess in August and Boundary Road Snacks and Drinks in October. The band were included as part of the NME 100 of 2020,[6] as well as ",When did Boundary Road Snacks and Drinks release their album?,When did Boundary Road Snacks and Drinks release their album?
" as well as DIY magazine's Class of 2020.[7] The band signed to 4AD in late 2020 and shared a new single, 'Scratchcard Lanyard'.[8] In February 2021, ",When did the band sign to 4AD?,When did the band sign to 4AD?
"heir debut studio album, New Long Leg. They also shared the single 'Strong Feelings'.[9] The album, which was produced by John Parish, was released on",What was the name of the new single that the band shared in February 2021?,What was the name of the new single that the band shared in February 2021?
"ber. The band were included as part of the NME 100 of 2020,[6] as well as DIY magazine's Class of 2020.[7] The band signed to 4AD in late 2020 and sha",Which magazine included the band in the Class of 2020?,Which magazine included the band in the Class of 2020?
"heir debut studio album, New Long Leg. They also shared the single 'Strong Feelings'.[9] The album, which was produced by John Parish, was released on",What was the name of the new single released in February 2021?,What was the name of the new single released in February 2021?
"album, New Long Leg. They also shared the single 'Strong Feelings'.[9] The album, which was produced by John Parish, was released on 2 April 2021.[10]",Who produced the album New Long Leg?,Who produced the album New Long Leg?
"album, New Long Leg. They also shared the single 'Strong Feelings'.[9] The album, which was produced by John Parish, was released on 2 April 2021.[10]",When was the album released?,When was the album released?
